foxBMS BMS-Master Basic;;;;;;;
Populate;Qty;Value;Package;Parts;Farnell;Digikey;Mouser
;Resistor;;;;;;
yes;9;0;R0603;R403  R406  R501  R506  R705  R1403  R1404  R1407  R1408;2059527;;
yes;2;1.5k;R0603;R701  R702;2303156;;
yes;12;10;R0603;R706  R901  R905  R909  R912  R1001  R1002  R1007  R1008  R1013  R1014  R806;2302958;;
yes;32;10k;R0603;R401  R402  R405  R407  R502  R504  R505  R507  R707  R708  R709  R710  R903  R904  R908  R911  R1003  R1004  R1009  R1010  R1015  R1016  R1107  R1108  R1109  R1110  R1111  R1112  R1501  R1502  R803  R805;2303192;;
yes;1;120;R0603;R902;2303067;;
yes;6;130;R0603;R201  R301  R408  R409  R508  R509;2059288;;
yes;8;430;R0603;R907  R910  R1005  R1006  R1011  R1012  R1017  R1018  R804;2145386;;
yes;1;330;R0603;R906;2145370;;
yes;4;27;603;R1401  R1402  R1405  R1406;2145363;;
yes;6;47;R0603;R1101  R1102  R1103  R1104  R1105  R1106;2145397;;
yes;2;62;603;R801  R802;2303039;;
yes;4;680;R0603;R404  R503  R703  R704;2303131;;
;Capacitor;;;;;;
yes;74;100n;C0603;C202  C206  C208  C301  C306  C308  C401  C404  C405  C406  C407  C408  C409  C410  C411  C412  C413  C415  C416  C417  C418  C419  C420  C421  C422  C424  C425  C430  C502  C503  C504  C506  C507  C508  C509  C510  C513  C601  C602  C703  C706  C707  C1103  C1104  C1105  C1106  C1107  C1402  C1403  C1404  C1405  C1407  C1408  C1409  C1410  C1601  C1602  C1603  C1604  C1801  C1802  C1803  C1804  C1805  C1806  C1807  C2101  C2102  C803  C804  C805  C806  C807  C1501;1828890;;
yes;4;100n 50V;C0603;C702  C802  C902  C1102;2346967;;
yes;8;18p;C0603;C402  C414  C428  C429  C501  C505  C704  C705;2070403;;
yes;6;1æ;C0603;C205  C207  C305  C307  C403  C423;1907343;;
yes;3;1æ 35V;805;C701  C801  C1101;2346909;;
yes;4;2.2æ;C0603;C426  C427  C511  C512;2346961;;
yes;7;2.2æ 50V;C0805;C201  C203  C204  C302  C303  C304  C901;2346945;;
yes;2;4.7æ;C0603;C1401  C1406;2362098;;
;L;;;;;;
yes;1;;805;L401;2443249;;
yes;1;;B82789*N;L801; ;;871-B82789C513N2
;LED;;;;;;
yes;2;Green;CHIP-LED0603;LED402  LED502;2099223;;
yes;2;Red;CHIP-LED0603;LED401  LED501;2099221;;
yes;2;Orange;CHIP-LED0603;LED201  LED301;2099222;;
;XTAL;;;;;;
yes;2;MJ;MJ;Q401  Q501;2308726;;
yes;1;;MS3V-T1R;Q402;1539368;;
;Transistor;;;;;;
yes;2;BSS84P;SOT23;T401  T501;1056526;;
yes;1;BUK964R8-60E;TO-263AB_FAIRCHILD;T901;2254205;;
yes;10;IRLML0100TRPBF;SOT-23;T701  T801  T902  T903  T1001  T1002  T1003  T1004  T1005  T1006;1783928;;
;IC;;;;;;
yes;1;ADR3425;SOT23-6;IC401;2377039;;
yes;2;ADUM3300;SO-16W;IC1102  IC1103;2409432;;
yes;1;ADUM3301;SO-16W;IC702;2462515;;
yes;3;ADUM3401;SO16W;IC601  IC1403  IC1406;1274129;;
yes;2;FT231XS-R;IC_SMD_SSOP-20_R_FTDI_REV01;IC1402  IC1405;2081328;;
yes;1;AT25128B;SO8;IC1501;2345601;;
yes;1;TJA1052;SO16W;IC802;2400552;;
;Diode;;;;;;
yes;1;PESD1CAN;SOT-23_NEU;D801;1510703;;
yes;2;10BQ040;SMB;D201  D301;8647771;;
yes;2;MM3Z_XVX_T1;SOD323;D901  D902;1431191;;
yes;6;CDSOD323-T05;SOD323;D1101  D1102  D1103  D1104  D1105  D1106;2341914;;
yes;2;4.7V;SOD323;D701  D702;2463512;;
no;6;GF1B;SMA-DO214AC;D1001  D1002  D1003  D1004  D1005  D1006;1467477;;
;MCU;;;;;;
yes;1;STM32F429IIT;LQFP176;IC402; ;497-14054-ND;
yes;1;STM32F429VGT;LQFP100;IC501;2393658;;
