foxBMS BMS-Slave V1.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Populate;Qty;Value;Package;Parts;Farnell;Digikey;Mouser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Resistor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yes;10;0R;603;R601  R607  R701  R707  R1020  R1022  R1024  R1120  R1122  R1124;2059527;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yes;2;1.21k, 1%, 1/10W;603;R603  R703;2059331;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yes;32;100R, 1%, 1/10W;603;R401  R402  R501  R502  R801  R802  R803  R804  R805  R806  R807  R808  R809  R810  R811  R812  R813  R901  R902  R903  R904  R905  R906  R907  R908  R909  R910  R911  R912  R913  R1025  R1125;2059574;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yes;32;10k, 10%, 1/10W;603;R1301  R1302  R1303  R1304  R1305  R1306  R1307  R1308  R1309  R1310  R1311  R1312  R1313  R1314  R1315  R1316  R1414  R1415  R1416  R1417  R1418  R1419  R1420  R1421  R1422  R1423  R1424  R1425  R1426  R1427  R1428  R1429;2303192;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yes;24;75R, 10%, 0.4W;2010;R1201  R1202  R1203  R1204  R1205  R1206  R1207  R1208  R1209  R1210  R1211  R1212  R1219  R1220  R1221  R1222  R1223  R1224  R1225  R1226  R1227  R1228  R1229  R1230;2059282;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yes;4;120R, 1%, 1/10W;603;R604  R605  R704  R705;2303067;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yes;2;1M, 10%, 1/10W;603;R608  R708;2059679;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yes;1;1k, 10%, 1/10W;603;R1407;2059601;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yes;12;130R, 10%, 1/10W;603;R1401  R1402  R1403  R1404  R1405  R1406  R1408  R1409  R1410  R1411  R1412  R1413;2059288;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yes;32;20k, 1%, 1/10W;603;R1001  R1002  R1003  R1004  R1005  R1006  R1007  R1008  R1009  R1010  R1011  R1012  R1013  R1014  R1015  R1016  R1101  R1102  R1103  R1104  R1105  R1106  R1107  R1108  R1109  R1110  R1111  R1112  R1113  R1114  R1115  R1116;2059636;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yes;12;3.3k, 10%, 1/10W;603;R1213  R1214  R1215  R1216  R1217  R1218  R1231  R1232  R1233  R1234  R1235  R1236;2059614;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yes;4;4.7k, 10%, 1/10W;603;R1017  R1018  R1117  R1118;2059619;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yes;2;806, 1%, 1/10W;603;R602  R702;2059324;541-806HCT-ND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Capacitor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yes;6;100nF, 10%, 100V;805;C402  C404  C406  C502  C504  C506;1856515;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yes;4;100nF, 20%, 16V;603;C1001  C1101  C1701  C1801;1828890;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yes;4;100pF, 15%, 25V;603;C601  C602  C701  C702;1856386;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yes;28;10nF, 100V, 10%;603;C801  C802  C803  C804  C805  C806  C807  C815  C816  C817  C818  C819  C820  C901  C902  C903  C904  C905  C906  C907  C915  C916  C917  C918  C919  C920 C1005  C1105;1865545;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yes;16;1uF, 20%, 16V;603;C401  C403  C405  C501  C503  C505  C1002  C1003  C1004  C1102  C1103  C1104  C1301  C1302  C1401  C1402;1907343;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yes;4;1uF, 20%, 25V;603;C603  C604  C703  C704;2470425;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diode;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yes;26;6.8V, 500mW;SOD123;Z801  Z802  Z803  Z804  Z805  Z806  Z807  Z808  Z809  Z810  Z811  Z812  Z813  Z901  Z902  Z903  Z904  Z905  Z906  Z907  Z908  Z909  Z910  Z911  Z912  Z913;1895056;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yes;2;60V,500mW;SOD123;Z401  Z501;1431277;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yes;12;CPC1008N;SOP4;IC1401  IC1402  IC1403  IC1404  IC1405  IC1406  IC1407  IC1408  IC1409  IC1410  IC1411  IC1412;1653755;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yes;8;LTC1380-GN;SSOP16;M1001  M1002  M1101  M1102  M1301  M1302  M1401  M1402;2295514;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yes;2;LTC6255CS6PBF;SOT95P280X100-6N;O1001  O1101;;LTC6255CS6#TRMPBFCT-ND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yes;2;LTC6804-1;SSOP48;IC201  IC301;;LTC6804HG-1#PBF-ND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yes;2;24AA02UID; SOT-23 ;IC1701  IC1801                  ;2345557;24AA02UIDT-I/OTCT-ND;579-24AA02UIDT-I/OT ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Connector;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yes;1;MA09-2;MA09-2;X1605;2025256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yes;3;MA10-2;MA10-2;X1604  X1607  X1608;2025257;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yes;1;;43045-1606;X1603;; WM10739CT-ND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yes;1;;43045-2406;X1606;; WM10768CT-ND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yes;2;;43045-0406;X1601  X1602;2063766;WM3249CT-ND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Transistor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yes;12;NX2301P;SOT23;T1201  T1202  T1203  T1204  T1205  T1206  T1207  T1208  T1209  T1210  T1211  T1212;1894738;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yes;2;PBHV8115Zÿ;SOT-223;T401  T501;1829309;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Other;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yes;2;0.5A, 63V, 0.25R;1206;F1501  F1515;;F1454CT-ND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yes;2;HX1188NL;HX1188NL;T601  T701;;553-1536-1-ND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
